#,Black player,Rank,White player,Rank,Result,# moves,Date,Event,Round
39,Li Qincheng,9p,Chen Xian,5p,W+R,224,2017-01-14, , 
40,Cher Hao,4p,°²¶¬Đñ,6p,W+0.5,243,2017-01-14, , 
41,Tao Xinran,6p,Li Xuan Hao,6p,W+R,188,2017-01-14, , 
42,Zhou Heyang,9p,Liao Xingwen,6p,W+R,228,2017-01-14, , 
43,Zhang Tao,5p,Tan Xiao,7p,B+R,251,2017-01-14, , 
44,Huang Yunsong,6p,Hu Yaoyu,8p,W+R,222,2017-01-14, , 
45,ceonjeujien [~],3p,Gu Li,9p,W+R,224,2017-01-14, , 
46,Meng Tailing,6p,Mi Yuting,9p,W+R,226,2017-01-14, , 
47,Dang Yifei,9p,Zhou Ruiyang,9p,W+R,269,2017-01-14, , 
48,Xie He,9p,Tang Weixing,9p,B+R,211,2017-01-14, , 
49,Jiang Weijie,9p,Shi Yue,9p,W+R,190,2017-01-14, , 
50,Xie He,9p,Ñî¿¬ÎÄ,4p,B+R,159,2017-01-13, , 
51,ceonjeujien [~],3p,ÍơÔó½ơ,5p,B+R,211,2017-01-13, , 
52,º«̉»Ṏ,5p,Zhou Hexi,5p,W+0.5,270,2017-01-13, , 
53,Zhong Wenjing,5p,Mao Ruilong,5p,W+R,150,2017-01-13, , 
54,Zhang Tao,5p,Gu Lingyi,5p,B+R,229,2017-01-13, , 
55,Gu Zi Hao,5p,Chen Xian,5p,W+R,200,2017-01-13, , 
56,Liu Xing,7p,Peng Liyao,5p,W+R,218,2017-01-13, , 
57,Hu Yaoyu,8p,Yang Dingxin,5p,B+R,139,2017-01-13, , 
58,Dang Yifei,9p,Xia Jiankun,5p,B+1.5,294,2017-01-13, , 
59,Zhu Yuanhao,4p,°²¶¬Đñ,6p,W+R,148,2017-01-13, , 
60,Wang Haoyang,6p,Yu Zhi Ying,6p, ,223,2017-01-13, , 
61,Sun Tengyu,7p,Tao Xinran,6p,W+R,150,2017-01-13, , 
62,Cai Jing,6p,Zhou Heyang,9p,W+R,134,2017-01-13, , 
